"filename", "language", "JSON", "JavaScript", "HTML", "Markdown", "CSS", "comment", "blank", "total"
"a:\Desktop\Coding\Visualizer\threeJS\README.md", "Markdown", 0, 0, 0, 208, 0, 0, 58, 266
"a:\Desktop\Coding\Visualizer\threeJS\REFACTOR_SUMMARY.md", "Markdown", 0, 0, 0, 119, 0, 0, 35, 154
"a:\Desktop\Coding\Visualizer\threeJS\docs\00_START_HERE.md", "Markdown", 0, 0, 0, 125, 0, 0, 50, 175
"a:\Desktop\Coding\Visualizer\threeJS\docs\COMMIT_MESSAGE.md", "Markdown", 0, 0, 0, 149, 0, 0, 27, 176
"a:\Desktop\Coding\Visualizer\threeJS\docs\CONFIGURATION.md", "Markdown", 0, 0, 0, 150, 0, 0, 41, 191
"a:\Desktop\Coding\Visualizer\threeJS\docs\FINAL_STRUCTURE.md", "Markdown", 0, 0, 0, 194, 0, 0, 46, 240
"a:\Desktop\Coding\Visualizer\threeJS\docs\FINAL_SUMMARY.md", "Markdown", 0, 0, 0, 209, 0, 0, 57, 266
"a:\Desktop\Coding\Visualizer\threeJS\docs\HTML_UPDATE_NEEDED.md", "Markdown", 0, 0, 0, 60, 0, 0, 12, 72
"a:\Desktop\Coding\Visualizer\threeJS\docs\LATEST_UPDATES.md", "Markdown", 0, 0, 0, 163, 0, 0, 46, 209
"a:\Desktop\Coding\Visualizer\threeJS\docs\LAZY_DEVELOPER_GUIDE.md", "Markdown", 0, 0, 0, 175, 0, 0, 43, 218
"a:\Desktop\Coding\Visualizer\threeJS\docs\PATCH_NOTES_DEV.md", "Markdown", 0, 0, 0, 158, 0, 0, 40, 198
"a:\Desktop\Coding\Visualizer\threeJS\docs\PATCH_NOTES_USER.md", "Markdown", 0, 0, 0, 96, 0, 0, 27, 123
"a:\Desktop\Coding\Visualizer\threeJS\docs\PROJECT_OVERVIEW.md", "Markdown", 0, 0, 0, 216, 0, 0, 50, 266
"a:\Desktop\Coding\Visualizer\threeJS\docs\STRUCTURE_GUIDE.md", "Markdown", 0, 0, 0, 150, 0, 0, 31, 181
"a:\Desktop\Coding\Visualizer\threeJS\docs\UI_ARCHITECTURE.md", "Markdown", 0, 0, 0, 178, 0, 0, 43, 221
"a:\Desktop\Coding\Visualizer\threeJS\docs\UI_CONTROLLER_UPDATES.md", "Markdown", 0, 0, 0, 58, 0, 0, 20, 78
"a:\Desktop\Coding\Visualizer\threeJS\docs\WHAT_WE_BUILT.md", "Markdown", 0, 0, 0, 159, 0, 0, 43, 202
"a:\Desktop\Coding\Visualizer\threeJS\effects\Effect.js", "JavaScript", 0, 54, 0, 0, 0, 3, 12, 69
"a:\Desktop\Coding\Visualizer\threeJS\effects\EffectsDefaults.js", "JavaScript", 0, 61, 0, 0, 0, 15, 8, 84
