Date : 2025-10-02 14:09:44
Directory : a:\Desktop\Coding\Visualizer\threeJS
Total : 54 files,  5827 codes, 248 comments, 1219 blanks, all 7294 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Markdown   |         18 |      2,775 |          0 |        727 |      3,502 |
| JavaScript |         23 |      1,603 |        221 |        405 |      2,229 |
| JSON       |          2 |      1,023 |          0 |          2 |      1,025 |
| HTML       |         10 |        426 |         27 |         84 |        537 |
| CSS        |          1 |          0 |          0 |          1 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                         |         54 |      5,827 |        248 |      1,219 |      7,294 |
| . (Files)                                                                                                 |          8 |      1,588 |         18 |        152 |      1,758 |
| docs                                                                                                      |         15 |      2,240 |          0 |        576 |      2,816 |
| effects                                                                                                   |          9 |        530 |         99 |        150 |        779 |
| effects (Files)                                                                                           |          3 |        245 |         46 |         56 |        347 |
| effects\clickEffects                                                                                      |          2 |        114 |         14 |         31 |        159 |
| effects\idleEffects                                                                                       |          4 |        171 |         39 |         63 |        273 |
| ui                                                                                                        |         22 |      1,469 |        131 |        341 |      1,941 |
| ui (Files)                                                                                                |         10 |        988 |         97 |        246 |      1,331 |
| ui\components                                                                                             |         12 |        481 |         34 |         95 |        610 |
| ui\components (Files)                                                                                     |          1 |         87 |          9 |         10 |        106 |
| ui\components\settings                                                                                    |         11 |        394 |         25 |         85 |        504 |
| ui\components\settings (Files)                                                                            |          2 |        148 |         14 |         38 |        200 |
| ui\components\settings\effects                                                                            |          4 |        217 |          6 |         37 |        260 |
| ui\components\settings\effects\click                                                                      |          1 |          9 |          1 |          2 |         12 |
| ui\components\settings\effects\click\templates                                                            |          1 |          9 |          1 |          2 |         12 |
| ui\components\settings\effects\drag                                                                       |          1 |         82 |          1 |         14 |         97 |
| ui\components\settings\effects\drag\templates                                                             |          1 |         82 |          1 |         14 |         97 |
| ui\components\settings\effects\global                                                                     |          1 |         36 |          1 |          7 |         44 |
| ui\components\settings\effects\global\templates                                                           |          1 |         36 |          1 |          7 |         44 |
| ui\components\settings\effects\idle                                                                       |          1 |         90 |          3 |         14 |        107 |
| ui\components\settings\effects\idle\templates                                                             |          1 |         90 |          3 |         14 |        107 |
